S. No.,Culture ID,IS1081_Ct_HK,M_ani_Ct_HK,IS1081_Ct_PurD,M_ani_Ct_PurD,M_Hum_Ct_PurD,M_bovis_Ct_PurD,M_Caprae_Ct_PurD,M_orygis
1,258G,17.83,16.34,18.32,17.32,NA,17.76,NA,NA
2,259G,22.65,18.4,16.25,15.24,NA,16.06,NA,NA
3,262G,15.7,23.99,14.8,14.14,NA,14.95,NA,NA
4,262P,17.3,19.59,15.87,14.97,39.899,15.52,NA,NA
5,264P,15.89,17.13,16.26,15.44,NA,16.4,NA,NA
6,264G,14.37,16.56,14.71,14.04,NA,15.67,NA,NA
7,271G,16.75,17.8,15.21,14.55,NA,15.13,NA,NA
8,283G,22.6,NA,18.52,17.46,NA,18.71,NA,NA
9,288P,18.7,27.67,17.56,16.56,NA,17.47,NA,NA
10,291G,21.46,23.62,20.41,19.21,NA,19.97,NA,NA
11,292G,17.95,18.93,15.44,14.31,NA,14.96,NA,NA
12,300P,17.06,18.36,21.74,20.86,NA,21.51,NA,NA
13,301G,21.15,19.99,26.62,25.09,NA,25.65,NA,NA
14,304G,17.76,18.73,21.93,21.06,NA,22.22,NA,NA
15,304P,18.48,19.98,16.19,15.52,NA,16.32,NA,NA
16,305G,19.61,22.89,20.14,19.35,NA,20.44,NA,NA
17,307G,17.84,19.14,17.96,16.72,NA,17.13,NA,NA
18,308P,19.31,20.36,21.76,21.22,NA,22.45,NA,NA
19,310G,19.13,20.97,18.88,17.89,NA,18.87,NA,NA
20,310P,21.26,22.28,19.18,18.41,NA,19.47,NA,NA
21,318G,18.89,20.04,16.74,15.54,NA,16.1,NA,NA
22,318P,21.97,23.99,16.86,16.01,NA,17.03,NA,NA
23,320P,NA,NA,30.32,29.73,NA,30.44,NA,NA
24,322G,16.79,18.42,15.3,14.39,NA,14.99,NA,NA
25,323G,19.22,19.96,18.38,17.61,NA,18.14,NA,NA
26,336G,NA,NA,29.58,28.73,NA,29.25,NA,NA
27,341P,17.85,19.4,17.38,16.47,NA,16.91,NA,NA
28,342P,17.75,21.02,15.68,14.85,NA,15.34,NA,NA
29,343P,21.34,19.67,16.93,16.21,NA,17.35,NA,NA
30,281P,18.78,19.1,16.17,15.48,NA,16.03,NA,NA
31,281G,18.55,19.12,26.05,25.18,NA,22.67,NA,NA
32,139GP,NA,NA,33.03,32.78,NA,34.1,NA,NA
33,138G,30.54,32.5,31.52,30.98,NA,32.35,NA,NA
34,224G,15.25,16.82,16.67,15.87,NA,17.52,NA,NA
35,27/28P,NA,NA,34.94,NA,NA,36.05,NA,NA
36,119G,NA,NA,30.34,30.05,NA,30.55,NA,NA
37,068/069P,20.22,21.3,17.98,17.15,37.251,17.98,NA,NA
38,147GP,38.21,NA,28.34,27.55,NA,29.06,NA,NA
39,17/18P,16.44,19.18,18.51,17.62,NA,18.08,NA,NA
40,11P,NA,NA,31.02,30.29,NA,31.36,NA,NA
41,109G,17,19.38,20.15,19.27,NA,34.41,NA,NA
42,122P,NA,NA,34.64,34.56,NA,36.94,NA,NA
43,106GP,17.06,18.51,16.76,16.07,NA,32.3,NA,NA
44,207P,38.39,37.56,35.68,NA,NA,36.96,NA,NA
45,151P,16.79,17.95,18.67,17.8,NA,16.62,NA,NA
46,100GP,17.69,18.66,17.13,16.29,39.891,31.22,NA,NA
47,97G,22.35,24.68,23.65,22.91,NA,34.75,NA,NA
48,097G/234,20.51,21.14,18.73,18,NA,30.56,NA,NA
49,004G,NA,NA,33.36,33.07,NA,33.43,NA,NA
50,217GP,NA,NA,32.3,32.66,NA,32.63,NA,NA
51,56/57G,37.45,NA,31.53,30.87,NA,31.28,NA,NA
52,211P,NA,NA,29.67,28.92,NA,31.08,NA,NA
53,73/74G,39.99,NA,32.49,32.51,NA,33.1,NA,NA
54,09/10GP,17.2,17.1,17.93,17.23,25.669,18.04,NA,NA
55,72/73GP,NA,36.38,32.06,32.08,NA,31.69,NA,NA
56,57/58GP,35.06,34.91,28.54,27.69,NA,28.46,NA,NA
57,32/33GP,17.21,18.6,23.04,22.21,NA,22.05,NA,NA
58,120GP,16.495,18.83,17.26,16.37,NA,16.97,NA,NA
59,213P,21.605,23.65,19.77,18.92,NA,19.57,NA,NA
60,241G,39.95,NA,31.76,31.3,NA,32.29,NA,NA
61,231G,NA,NA,20.23,19.18,NA,20.6,NA,NA
62,379,NA,NA,25.07,23.9,NA,24.31,NA,NA
63,383,NA,NA,30.2,29.77,NA,30.86,NA,NA
64,380,NA,NA,32.4,32.15,NA,32.25,NA,NA
65,120 GP,18.66,18.66,20.68,21.23,NA,22.24,NA,NA
66,155 PG,16.68,18.69,18.5,18.95,NA,18.19,NA,NA
67,152 PG,27.14,28.91,27.74,28.49,NA,28.49,NA,NA
68,157 P,34.71,37.3,29.29,30.1,NA,29.91,NA,NA
69,114 PG,20.41,21.36,22,22.3,NA,21.62,NA,NA
70,144 P,18.83,17.34,18.47,18.28,NA,17.99,NA,NA
71,95 GP,18.09,17.87,17.32,17.43,NA,17.51,NA,NA
72,102 PG,17.97,18.85,19.99,21.34,NA,31.76,19.38,NA
73,115 P,18.66,19.37,18.73,19.09,NA,19.76,NA,NA
74,131 G,18.61,19.81,19.62,20.99,NA,20.14,NA,NA
75,272 P,15.21,17.96,17.73,18.31,NA,18.66,NA,NA
76,295 G,21.48,23.42,21.07,21.04,NA,21.79,NA,NA
77,64/65 P,34.17,35.55,31.44,33.16,NA,30.78,NA,NA
78,46/47P,17.71,19.92,20.22,21.01,NA,21.89,NA,NA
79,273 G,18.14,19.27,17.43,18.14,NA,18.62,NA,NA
80,334 G,18.77,20.97,19.62,20.64,NA,20.29,NA,NA
81,317 G,16.19,18.54,17.05,17.94,NA,17.61,NA,NA
82,313 P,19.51,20.47,19.6,20.37,NA,19.69,NA,NA
83,293 G,18.32,19.75,20.4,21.23,NA,20.83,NA,NA
84,313 G,20.54,20.31,18.82,19.4,NA,19.89,NA,NA
85,329 P,17.16,15.97,18.72,19.25,NA,18.13,NA,NA
86,48/49 P,32.41,34.72,27.59,28.5,NA,29.04,NA,NA
87,54/55 P,17.3,18.43,18.45,18.9,NA,18.56,NA,NA
88,305P,19.88,20.99,21.1,22.1,NA,21.98,NA,NA
89,269G,16.11,18.65,17.73,18.13,NA,17.92,NA,NA
90,333G,18.48,15.97,19.51,19.97,NA,18.42,NA,NA
91,53/54,17.755,22.07,22.23,23.35,NA,21.89,NA,NA
92,299G,18.86,22.31,21.39,22.24,NA,21.89,NA,NA
93,258P,17.83,16.34,16.03,16.4,NA,16.79,NA,NA
94,10/11P,17.25,17.09,17.21,17.72,NA,18.28,NA,NA
